"","Country","date","in_lockdown"
"311","Austria",2005-11-07,0
"312","Austria",2005-11-08,0
"313","Austria",2005-11-09,0
"314","Austria",2005-11-10,0
"315","Austria",2005-11-11,0
"316","Austria",2005-11-12,0
"317","Austria",2005-11-13,0
"318","Austria",2005-11-14,0
"319","Austria",2005-11-15,0
"320","Austria",2005-11-16,0
"321","Austria",2005-11-17,0
"322","Austria",2005-11-18,0
"323","Austria",2005-11-19,0
"324","Austria",2005-11-20,0
"325","Austria",2005-11-21,0
"326","Austria",2005-11-22,0
"327","Austria",2005-11-23,0
"328","Austria",2005-11-24,0
"329","Austria",2005-11-25,0
"330","Austria",2005-11-26,0
"331","Austria",2005-11-27,0
"332","Austria",2005-11-28,0
"333","Austria",2005-11-29,0
"334","Austria",2005-11-30,0
"335","Austria",2005-12-01,0
"336","Austria",2005-12-02,0
"337","Austria",2005-12-03,0
"338","Austria",2005-12-04,0
"339","Austria",2005-12-05,0
"340","Austria",2005-12-06,0
"341","Austria",2005-12-07,0
"342","Austria",2005-12-08,0
"343","Austria",2005-12-09,0
"344","Austria",2005-12-10,0
"345","Austria",2005-12-11,0
"346","Austria",2005-12-12,0
"347","Austria",2005-12-13,0
"348","Austria",2005-12-14,0
"349","Austria",2005-12-15,0
"350","Austria",2005-12-16,0
"351","Austria",2005-12-17,0
"352","Austria",2005-12-18,0
"353","Austria",2005-12-19,0
"354","Austria",2005-12-20,0
"355","Austria",2005-12-21,0
"356","Austria",2005-12-22,0
"357","Austria",2005-12-23,0
"358","Austria",2005-12-24,0
"359","Austria",2005-12-25,0
"360","Austria",2005-12-26,0
"361","Austria",2005-12-27,0
"362","Austria",2005-12-28,0
"363","Austria",2005-12-29,0
"364","Austria",2005-12-30,0
"365","Austria",2005-12-31,0
"366","Austria",2006-01-01,0
"367","Austria",2006-01-02,0
"368","Austria",2006-01-03,0
"369","Austria",2006-01-04,0
"370","Austria",2006-01-05,0
"371","Austria",2006-01-06,0
"372","Austria",2006-01-07,0
"373","Austria",2006-01-08,0
"374","Austria",2006-01-09,0
"375","Austria",2006-01-10,0
"376","Austria",2006-01-11,0
"377","Austria",2006-01-12,0
"378","Austria",2006-01-13,0
"379","Austria",2006-01-14,0
"380","Austria",2006-01-15,0
"381","Austria",2006-01-16,0
"382","Austria",2006-01-17,0
"383","Austria",2006-01-18,0
"384","Austria",2006-01-19,0
"385","Austria",2006-01-20,0
"386","Austria",2006-01-21,0
"387","Austria",2006-01-22,0
"388","Austria",2006-01-23,0
"389","Austria",2006-01-24,0
"390","Austria",2006-01-25,0
"391","Austria",2006-01-26,0
"392","Austria",2006-01-27,0
"393","Austria",2006-01-28,0
"394","Austria",2006-01-29,0
